make_model,year,price_usd,price_som,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link
Lexus ES,2009 г.,$ 14 200,1 240 086 сом,автомат,серебристый,седан,3.5,бензин,руль слева,171 000 км,Бишкек,https://www.mashina.kg/details/lexus-es-63e72de4365c7803708084
Toyota Wish,2005 г.,$ 7 800,681 174 сом,автомат,серебристый,компактвэн,1.8,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/toyota-wish-63e72a43f25ca793728887
Hyundai Sonata,2017 г.,$ 14 500,1 266 285 сом,,серебристый,седан,автомат,газ,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e62243d36c5192657425
Honda Stepwgn,2005 г.,$ 13 000,1 135 290 сом,автомат,белый,минивэн,2,бензин,руль справа,126 700 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-63e7283c68968698123087
ВАЗ (Lada) 2107,2010 г.,$ 4 600,401 718 сом,механика,серый,седан,1.6,бензин,руль слева,40 000 км,Бишкек,https://www.mashina.kg/details/vaz-lada-2107-63e55620d2597369328553
Honda Fit,2019 г.,$ 14 700,1 283 751 сом,вариатор,синий,хэтчбек 5 дв.,1.5,бензин,руль слева,29 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e5d74ed7ad8487090359
BMW 5 Серия,2007 г.,$ 10 800,943 164 сом,автомат,черный,седан,3,бензин,руль слева,265 999 км,Бишкек,https://www.mashina.kg/details/bmw-5-seriya-63e5d5f66ef93943555622
Kia K5 II Седан,2016 г.,$ 13 200,1 152 756 сом,автомат,серебристый,седан,2,газ,руль слева,181 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e5d49ee3bd0053618009
Toyota Windom,2005 г.,$ 11 500,1 004 295 сом,автомат,черный,седан,3,бензин,руль справа,198 000 км,Бишкек,https://www.mashina.kg/details/toyota-windom-63e5d3dd37cc2023732601
Toyota Alphard,2006 г.,$ 13 500,1 178 955 сом,автомат,белый,минивэн,3,бензин,руль справа,140 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-63e5d319b7f9d018850301
Toyota Corolla,2006 г.,$ 7 900,689 907 сом,робот,красный,седан,1.6,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-63e5d26b85caf875880864
Hyundai Sonata,2018 г.,$ 14 800,1 292 484 сом,,серебристый,седан,автомат,газ,руль слева,174 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e5d0ba08f53893620896
Toyota Prius v (+),2015 г.,$ 15 000,1 309 950 сом,,коричневый,универсал,автомат,гибрид,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-v---63e5cd5742c26444452987
Chevrolet Spark,2016 г.,$ 7 900,689 907 сом,вариатор,белый,хэтчбек 5 дв.,1,бензин,руль слева,105 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-63e5c96132ad0221489613
Honda Fit,2008 г.,$ 10 000,873 300 сом,автомат,голубой,хэтчбек 5 дв.,1.5,бензин,руль слева,81 234 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e5c262eb52b080380642
Kia K5 II Седан,2016 г.,$ 12 600,1 100 358 сом,автомат,серебристый,седан,2,газ,руль слева,165 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e5c0c221b7e933994013
Mercedes-Benz B-Класс,2009 г.,$ 9 200,803 436 сом,вариатор,белый,хэтчбек 5 дв.,1.7,бензин,руль слева,140 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-b-klass-63e5ad8b3d015654071932
Mazda 6,2005 г.,$ 4 580,400 000 сом,механика,черный,седан,2,бензин,руль слева,295 000 км,Бишкек,https://www.mashina.kg/details/mazda-6-63e59dc5711c6967397947
Honda Jazz,2008 г.,$ 8 400,733 572 сом,вариатор,бронза,хэтчбек 5 дв.,1.3,бензин,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-63e53ac393761787452941
BMW 5 Серия,2011 г.,$ 14 200,1 240 086 сом,автомат,черный,седан,3,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-seriya-63e53768caf4e621426336
Honda Fit,2009 г.,$ 9 800,855 834 сом,автомат,красный,хэтчбек 5 дв.,1.5,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e650dd0bf61183454026
Ford Focus,2013 г.,$ 8 016,700 000 сом,робот,серебристый,универсал,1.6,бензин,руль слева,225 000 км,Бишкек,https://www.mashina.kg/details/ford-focus-63e62faeb9051361793892
Hyundai Sonata,2017 г.,$ 14 900,1 301 217 сом,,белый,седан,автомат,газ,руль слева,147 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e64dcc68c75741082130
Toyota Camry,2011 г.,$ 14 800,1 292 484 сом,автомат,серый,седан,2.5,бензин,руль слева,142 800 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e64b308658a008986544
Mazda CX-7,2008 г.,$ 8 000,698 640 сом,автомат,бордовый,внедорожник 5 дв.,2.3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/mazda-cx-7-63e649469e1bb592100225
Honda Stream,2005 г.,$ 7 500,654 975 сом,автомат,черный,компактвэн,2,бензин,руль справа,304 200 км,Бишкек,https://www.mashina.kg/details/honda-stream-63e644d619d0c114846244
Honda Jazz,2008 г.,$ 8 500,742 305 сом,вариатор,красный,хэтчбек 5 дв.,1.3,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-63e6447073fdd467749337
Toyota Camry,2013 г.,$ 13 500,1 178 955 сом,автомат,серебристый,седан,2.5,бензин,руль слева,236 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e6442aedf1b528319600
Toyota Camry,2014 г.,$ 14 900,1 301 217 сом,автомат,серый,седан,2.5,бензин,руль слева,154 125 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e641bd5c5bb723381606
Mazda 5,2009 г.,$ 8 700,759 771 сом,автомат,серебристый,компактвэн,2.3,бензин,руль слева,137 000 км,Бишкек,https://www.mashina.kg/details/mazda-5-63e641a29d565656742898
Hyundai Sonata,2016 г.,$ 12 700,1 109 091 сом,автомат,серебристый,седан,2,газ,руль слева,114 141 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e64153afe31539138805
Toyota Alphard,2005 г.,$ 10 500,916 965 сом,автомат,черный,минивэн,2.4,бензин,руль слева,290 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-63e6406a3ac17134256514
Daewoo Lacetti,2007 г.,$ 5 267,460 000 сом,механика,серебристый,седан,1.6,бензин,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/daewoo-lacetti-63e63b88d5736829684215
Toyota Camry,2010 г.,$ 13 000,1 135 290 сом,автомат,серый,седан,2.5,бензин,руль слева,185 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e6386fd022f714531705
Infiniti EX,2008 г.,$ 12 500,1 091 625 сом,автомат,белый,внедорожник 5 дв.,3.5,бензин,руль слева,124 242 км,Бишкек,https://www.mashina.kg/details/infiniti-ex-63e6383ece3e2952865782
Hyundai Elantra,2011 г.,$ 9 500,829 635 сом,автомат,синий,седан,1.6,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e636c4d5ec0937067867
Honda Fit,2006 г.,$ 7 443,650 000 сом,вариатор,белый,хэтчбек 5 дв.,1.3,бензин,руль справа,160 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e62adf6541f578997463
Hyundai Solaris,2017 г.,$ 10 500,916 965 сом,автомат,белый,седан,1.6,бензин,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/hyundai-solaris-63e629d79340a991243979
Hyundai Elantra,2017 г.,$ 13 300,1 161 489 сом,автомат,бордовый,седан,2,бензин,руль слева,143 943 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e62943824e1608497991
Honda CR-V,2005 г.,$ 12 000,1 047 960 сом,автомат,серебристый,внедорожник 5 дв.,2.4,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e6272ed88a9562745798
Honda CR-V,2008 г.,$ 13 000,1 135 290 сом,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e796ed9ff64401533603
Toyota Camry,2010 г.,$ 11 800,1 030 494 сом,автомат,серебристый,седан,2.5,бензин,руль слева,24 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e6f58f55617682017687
Kia K5 II Седан,2016 г.,$ 12 000,1 047 960 сом,автомат,серебристый,седан,2,газ,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e79677bbe53058006206
Kia K5 II Седан,2017 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2,бензин,руль слева,162 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e795a1143d7442742757
Mercedes-Benz E-класс,2005 г.,$ 7 600,663 708 сом,автомат,серебристый,седан,2.1,дизель,руль слева,25 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-63e793e5ea1c9459203026
Hyundai Sonata,2015 г.,$ 12 200,1 065 426 сом,автомат,серебристый,седан,2,газ,руль слева,188 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e79312211c9283595537
Hyundai Sonata,2016 г.,$ 14 500,1 266 285 сом,автомат,черный,седан,2,газ,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e792c8f1731777890249
Honda Civic,2008 г.,$ 7 500,654 975 сом,автомат,серебристый,седан,1.8,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/honda-civic-63e638d6e6c0b401857612
Citroen DS3,2013 г.,$ 9 000,785 970 сом,автомат,белый,хэтчбек 3 дв.,1.6,бензин,руль слева,45 000 км,Бишкек,https://www.mashina.kg/details/citroen-ds3-63e789db1811f531977068
Subaru Legacy,2006 г.,$ 6 500,567 645 сом,автомат,белый,седан,2,бензин,руль справа,275 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-63e789d262c39785355068
Toyota Land Cruiser Prado,2005 г.,$ 12 500,1 091 625 сом,автомат,серебристый,внедорожник 5 дв.,3,дизель,руль слева,235 869 км,Бишкек,https://www.mashina.kg/details/toyota-land-cruiser-prado-63e7888ca8896150682098
Toyota Harrier,2005 г.,$ 11 500,1 004 295 сом,автомат,черный,внедорожник 5 дв.,3,бензин,руль справа,170 000 км,Бишкек,https://www.mashina.kg/details/toyota-harrier-63e55f5e6c28c454769446
Hyundai Sonata,2017 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2,газ,руль слева,81 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e7859fef992522066355
Toyota Prius,2015 г.,$ 13 999,1 222 533 сом,автомат,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль слева,88 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e7212f87842005695081
Nissan Leaf,2013 г.,$ 10 700,934 431 сом,,бордовый,хэтчбек 5 дв.,вариатор,электро,руль слева,186 000 км,Бишкек,https://www.mashina.kg/details/nissan-leaf-63e66c7b1d5ef995319207
Honda Fit,2010 г.,$ 9 800,855 834 сом,вариатор,белый,хэтчбек 5 дв.,1.5,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e780bb308bd673623125
Hyundai Sonata,2017 г.,$ 14 500,1 266 285 сом,,белый,седан,автомат,газ,руль слева,118 300 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e78077bc8ae771641827
Hyundai Getz,2009 г.,$ 6 800,593 844 сом,автомат,серебристый,хэтчбек 3 дв.,1.4,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-63e78005e3ea1778094485
Toyota Camry,2013 г.,$ 14 500,1 266 285 сом,автомат,голубой,седан,2.5,бензин,руль слева,109 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e77df73b76c037363189
Daewoo Nexia,2012 г.,$ 5 611,490 000 сом,механика,белый,седан,1.5,бензин,руль слева,126 000 км,Бишкек,https://www.mashina.kg/details/daewoo-nexia-63e76fe32dee4787482902
